+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------------------------+----------+-----+-------------------------------------+---------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz   | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-43ff7415 |  master  | cnt |                 qid                 |  diff   | pct_diff |
| 5   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | worker   | 12        | 16  | increase  | asc         | desc       | 128036     | 1142.57                    | 3543.67  | 6   | 9385,9560,9735,9381,9556,9731       | 2401.1  | 210.15   |
| 7   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 315536     | 2307.15                    | 4706.0   | 6   | 14656,14831,15006,14652,14827,15002 | 2398.85 | 103.97   |
| 8   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | decrease  | desc        | asc        | 128036     | 1229.25                    | 3618.02  | 6   | 16210,16385,16560,16206,16381,16556 | 2388.77 | 194.33   |
| 7   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 378036     | 2664.51                    | 5049.61  | 6   | 14663,14838,15013,14659,14834,15009 | 2385.1  | 89.51    |
| 16  | 80         | 10000000 | 2500000   | 117648   | 1048576 | 2     | 4    | worker   | 12        | 16  | decrease  | desc        | asc        | 2012144    | 2510.3                     | 4892.37  | 6   | 33864,34053,34242,33860,34049,34238 | 2382.07 | 94.89    |
| 7   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 503036     | 3382.45                    | 5757.51  | 6   | 14677,14852,15027,14673,14848,15023 | 2375.06 | 70.22    |
| 14  | 80         | 10000000 | 2500000   | 117648   | 1048576 | 2     | 4    | worker   | 12        | 16  | increase  | desc        | desc       | 1762144    | 1624.4                     | 3998.02  | 6   | 29888,30077,30266,29884,30073,30262 | 2373.62 | 146.12   |
| 7   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 253036     | 1940.58                    | 4310.31  | 6   | 14649,14824,14999,14645,14820,14995 | 2369.73 | 122.11   |
| 14  | 80         | 10000000 | 2500000   | 117648   | 1048576 | 2     | 4    | io_uring | 12        | 16  | increase  | desc        | desc       | 1762144    | 1756.41                    | 4116.12  | 6   | 31022,31211,31400,31018,31207,31396 | 2359.71 | 134.35   |
| 7   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | worker   | 12        | 16  | decrease  | asc         | desc       | 565536     | 3406.7                     | 5765.05  | 6   | 13634,13809,13984,13630,13805,13980 | 2358.35 | 69.23    |
| 7   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 190536     | 1551.71                    | 3899.21  | 6   | 14642,14817,14992,14638,14813,14988 | 2347.5  | 151.28   |
| 5   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | increase  | asc         | desc       | 128036     | 1207.93                    | 3549.16  | 6   | 10435,10610,10785,10431,10606,10781 | 2341.23 | 193.82   |
| 7   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | worker   | 12        | 16  | decrease  | asc         | desc       | 378036     | 2404.51                    | 4744.63  | 6   | 13613,13788,13963,13609,13784,13959 | 2340.12 | 97.32    |
| 7   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | worker   | 12        | 16  | decrease  | asc         | desc       | 503036     | 3077.69                    | 5416.09  | 6   | 13627,13802,13977,13623,13798,13973 | 2338.4  | 75.98    |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 131072     | 1040.92                    | 3376.14  | 6   | 36076,36265,36454,36072,36261,36450 | 2335.22 | 224.34   |
| 6   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 128036     | 1217.64                    | 3550.02  | 6   | 12010,12185,12360,12006,12181,12356 | 2332.38 | 191.55   |
| 6   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | worker   | 12        | 16  | increase  | desc        | asc        | 378036     | 2308.49                    | 4632.31  | 6   | 10988,11163,11338,10984,11159,11334 | 2323.82 | 100.66   |
| 7   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | worker   | 12        | 16  | decrease  | asc         | desc       | 315536     | 2046.06                    | 4368.1   | 6   | 13606,13781,13956,13602,13777,13952 | 2322.04 | 113.49   |
| 6   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | worker   | 12        | 16  | increase  | desc        | asc        | 315536     | 1966.5                     | 4285.32  | 6   | 10981,11156,11331,10977,11152,11327 | 2318.82 | 117.92   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 65536      | 677.86                     | 2994.81  | 6   | 36069,36258,36447,36065,36254,36443 | 2316.95 | 341.8    |
| 15  | 80         | 10000000 | 2500000   | 117648   | 1048576 | 2     | 4    | io_uring | 12        | 16  | decrease  | asc         | asc        | 2262144    | 2084.96                    | 4394.92  | 6   | 32737,32926,33115,32733,32922,33111 | 2309.96 | 110.79   |
