+-----+------------+----------+-----------+----------+------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------------+----------------------------------+-----+-------------------------------------+----------+----------+
| did | fillfactor |   rows   | ndistinct | relpages | fuzz | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-2-3ded1b78 | patched-geoghegan-munro-43ff7415 | cnt |                 qid                 |   diff   | pct_diff |
| 4   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 503036     | 1662.97                      | 1687.73                          | 6   | 8039,8214,8389,8042,8217,8392       | 24.76    | 1.49     |
| 10  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | increase  | desc        | asc        | 251518     | 3965.69                      | 3990.22                          | 6   | 19981,20149,20317,19984,20152,20320 | 24.53    | 0.62     |
| 3   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 315536     | 2431.82                      | 2455.88                          | 6   | 5918,6093,6268,5921,6096,6271       | 24.06    | 0.99     |
| 9   | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | increase  | asc         | asc        | 126518     | 965.95                       | 989.63                           | 6   | 17937,18105,18273,17940,18108,18276 | 23.68    | 2.45     |
| 1   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | worker   | 12        | 16  | increase  | asc         | asc        | 378036     | 998.91                       | 1022.44                          | 6   | 150,325,500,153,328,503             | 23.53    | 2.36     |
| 10  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | worker   | 12        | 16  | increase  | desc        | asc        | 189018     | 2629.57                      | 2652.85                          | 6   | 18959,19127,19295,18962,19130,19298 | 23.28    | 0.89     |
| 1   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | increase  | asc         | desc       | 190536     | 1463.34                      | 1486.14                          | 6   | 1704,1879,2054,1707,1882,2057       | 22.8     | 1.56     |
| 6   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 65536      | 531.43                       | 554.15                           | 6   | 11665,11840,12015,11668,11843,12018 | 22.72    | 4.28     |
| 9   | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | increase  | asc         | asc        | 220268     | 1685.73                      | 1708.09                          | 6   | 17958,18126,18294,17961,18129,18297 | 22.36    | 1.33     |
| 10  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | increase  | desc        | desc       | 95268      | 1019.73                      | 1041.7                           | 6   | 20450,20618,20786,20453,20621,20789 | 21.97    | 2.15     |
| 10  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | increase  | desc        | desc       | 251518     | 2689.24                      | 2711.11                          | 6   | 20485,20653,20821,20488,20656,20824 | 21.87    | 0.81     |
| 11  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | decrease  | asc         | desc       | 189018     | 2968.58                      | 2990.35                          | 6   | 22487,22655,22823,22490,22658,22826 | 21.77    | 0.73     |
| 4   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 190536     | 629.75                       | 651.33                           | 6   | 8004,8179,8354,8007,8182,8357       | 21.58    | 3.43     |
| 2   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 315536     | 2413.87                      | 2435.13                          | 6   | 3293,3468,3643,3296,3471,3646       | 21.26    | 0.88     |
| 11  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | decrease  | asc         | asc        | 157768     | 1705.24                      | 1726.21                          | 6   | 21976,22144,22312,21979,22147,22315 | 20.97    | 1.23     |
| 14  | 80         | 10000000 | 10000000  | 117648   | 1024 | 8     | 1    | worker   | 12        | 16  | increase  | desc        | asc        | 9048576    | 5756.2                       | 5777.16                          | 4   | 27499,27702,27502,27705             | 20.96    | 0.36     |
| 12  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | decrease  | desc        | asc        | 126518     | 2172.78                      | 2193.14                          | 6   | 23985,24153,24321,23988,24156,24324 | 20.36    | 0.94     |
| 6   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | worker   | 12        | 16  | increase  | desc        | asc        | 128036     | 956.43                       | 976.75                           | 6   | 10622,10797,10972,10625,10800,10975 | 20.32    | 2.12     |
| 11  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | worker   | 12        | 16  | decrease  | asc         | desc       | 64018      | 888.53                       | 907.9                            | 6   | 21451,21619,21787,21454,21622,21790 | 19.37    | 2.18     |
